id,fecha,objetivo,suffix,baseline,overrides,seeds,lotes,winrate_self,wr_rusher_00,wr_rusher_05,wr_rusher_10,veredicto,nota,artefactos,informe_md
EXP-0001,2026-09-13,Buffer 200k con SAVE Y POOL EVERY fijos cada 10 y 5,BASE_50,,,42;43;44,50,60.09,0.6079,0.1523,0.0974,referencia,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_50\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_50\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_50\s44,docs/experiments\EXP-0001_BASE_50.md
EXP-0002,2026-09-13,Buffer 200k con SAVE Y POOL EVERY fijos cada 10 y 5,BASE_100,,,42;43;44,100,65.04,0.6084,0.1600,0.1017,referencia,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_100\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_100\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_100\s44,docs/experiments\EXP-0002_BASE_100.md
EXP-0003,2026-09-13,Buffer 200k con SAVE Y POOL EVERY fijos cada 10 y 5,BASE_200,models\IAV2_BASE_100,,42;43;44,200,57.08,0.5877,0.1414,0.0819,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_200\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_200\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_BASE_200\s44,docs/experiments\EXP-0003_BASE_200.md
EXP-0004,2026-09-13,"BASE pero con enemigos rusher como posibilidades, quiero estudiar si el cambio en la memoria mejora los resultados",RUSHER_0.3,models\IAV2_BASE_100,RUSHER_OPPONENT_PERCENTAGE=0.3,42;43;44,100,55.35,0.5626,0.1037,0.0660,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3\s44,docs/experiments\EXP-0004_RUSHER_0_3.md
EXP-0005,2026-09-13,"BASE pero con enemigos rusher como posibilidades, quiero estudiar si el cambio en la memoria mejora los resultados con la reward interpolada",RUSHER_0.3_Reward_Interpolated,models\IAV2_RUSHER_0_3,RUSHER_OPPONENT_PERCENTAGE=0.3;USE_PROFILE_CONDITIONED_REWARD=True,42;43;44,100,61.62,0.5462,0.0954,0.0644,positivo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated\s44,docs/experiments\EXP-0005_RUSHER_0_3_Reward_Interpolated.md
EXP-0006,2026-09-13,"BASE pero con enemigos rusher como posibilidades y epsioidos de entrenamiento contra rusher, ademas de la interpolaciÃ³n de recompensas",RUSHER_0.3_Reward_Interpolated_FT,models\IAV2_RUSHER_0_3,RUSHER_OPPONENT_PERCENTAGE=0.3;USE_PROFILE_CONDITIONED_REWARD=True;RUSHER_FINETUNE_EPISODES=100;RUN_RUSHER_FINETUNE=True,42;43;44,100,52.52,0.4968,0.0820,0.0448,neutro,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated_FT\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated_FT\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_RUSHER_0_3_Reward_Interpolated_FT\s44,docs/experiments\EXP-0006_RUSHER_0_3_Reward_Interpolated_FT.md
EXP-0007,2026-09-13,Base con CDQN Turn 150,CDQNT_150,models\IAV2_BASE_100,COPY_DQN_TURN=150,42;43;44,100,70.51,0.6329,0.1699,0.1063,positivo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_150\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_150\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_150\s44,docs/experiments\EXP-0007_CDQNT_150.md
EXP-0008,2026-09-13,Base con CDQN Turn 300,CDQNT_300,models\IAV2_CDQNT_150,COPY_DQN_TURN=300,42;43;44,100,65.56,0.6203,0.1617,0.1021,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_300\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_300\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_300\s44,docs/experiments\EXP-0008_CDQNT_300.md
EXP-0009,2026-09-13,Base con CDQN Sel 120,CDQNS_120,models\IAV2_BASE_100,COPY_DQN_SEL=120,42;43;44,100,66.36,0.6061,0.1321,0.0805,neutro,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_120\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_120\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_120\s44,docs/experiments\EXP-0009_CDQNS_120.md
EXP-0010,2026-09-14,Base con CDQN Sel 240,CDQNS_240,models\IAV2_BASE_100,COPY_DQN_SEL=240,42;43;44,100,59.47,0.5905,0.1274,0.0774,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_240\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_240\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNS_240\s44,docs/experiments\EXP-0010_CDQNS_240.md
EXP-0011,2026-09-14,Base con CDQN Sel 12o Y CDQNT 150,CDQNT_Y_S,models\IAV2_CDQNT_150,COPY_DQN_SEL=120;COPY_DQN_TURN=150,42;43;44,100,64.53,0.5951,0.1408,0.0944,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_Y_S\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_Y_S\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_Y_S\s44,docs/experiments\EXP-0011_CDQNT_Y_S.md
EXP-0012,2026-09-14,Base con CDQNT 150 200 lotes,CDQNT_200Lotes,models\IAV2_BASE_200,COPY_DQN_SEL=120;COPY_DQN_TURN=150,42;43;44,200,63.61,0.6472,0.1717,0.0939,positivo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes\s44,docs/experiments\EXP-0012_CDQNT_200Lotes.md
EXP-0013,2026-09-14,Base con CDQNT 150 200 lotes,CDQNT_200Lotes5S,models\IAV2_CDQNT_200Lotes,COPY_DQN_SEL=120;COPY_DQN_TURN=150,1;7;40;41;42,200,52.21,0.5600,0.1311,0.0820,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes5S\s1;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes5S\s7;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes5S\s40;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes5S\s41;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_CDQNT_200Lotes5S\s42,docs/experiments\EXP-0013_CDQNT_200Lotes5S.md
EXP-0014,2026-09-14,Base con TRD  a 500K ,TRD_500K_200L,models\IAV2_CDQNT_200Lotes,TURN_REPLAY_DATA=500k=None,42;43;44,200,59.06,0.5782,0.1238,0.0826,negativo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_TRD_500K_200L\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_TRD_500K_200L\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_TRD_500K_200L\s44,docs/experiments\EXP-0014_TRD_500K_200L.md
EXP-0015,2026-09-15,BASE con BETA_START = 1.0 ,Eval_BETA_START_1,models\IAV2_BASE_200,BETA_START=1,42;43;44,200,66.66,0.6328,0.1575,0.0957,positivo,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_1\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_1\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_1\s44,docs/experiments\EXP-0015_Eval_BETA_START_1.md
EXP-0016,2026-09-15,BASE con BETA_START = 0.6 ,Eval_BETA_START_0.6,models\IAV2_BASE_200,BETA_START=0.6,42;43;44,200,65.14,0.6323,0.1456,0.0996,neutro,,C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_0_6\s42;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_0_6\s43;C:\Users\mende\Universidad\AI-Adaptive-Game\CastleGame\models\IAV2_Eval_BETA_START_0_6\s44,docs/experiments\EXP-0016_Eval_BETA_START_0_6.md
