episode,epsilon_turn_p1,epsilon_turn_p2,epsilon_sel_p1,epsilon_sel_p2,p1_winrate,p2_winrate,drawrate,p1_damage_avg,p2_damage_avg,avg_turns,p1_reward_avg,p2_reward_avg,timestamp
0,0.49999,0.49999,0.49999,0.49999,0.0,100.0,0.0,49.0,69.5,9.0,-214.0,165.0,1787499399.4128985
1000,0.4900894366474304,0.4900894366474304,0.4900894366474304,0.4900894366474304,45.95404595404595,54.04595404595405,0.0,56.015484515484516,61.25824175824176,8.2997002997003,-47.51348651348651,-2.3766233766233764,1787499461.9396398
2000,0.48038491952518236,0.48038491952518236,0.48038491952518236,0.48038491952518236,52.47376311844077,47.52623688155922,0.0,58.759870064967515,60.06746626686657,8.108945527236381,-18.230384807596202,-29.594202898550726,1787499529.0560367
3000,0.47087256661936816,0.47087256661936816,0.47087256661936816,0.47087256661936816,57.280906364545146,42.71909363545485,0.0,58.65044985004998,57.846884371876044,7.82805731422859,1.8267244251916028,-47.58647117627458,1787499599.4453638
4000,0.4615485727858869,0.4615485727858869,0.4615485727858869,0.4615485727858869,60.45988502874281,39.54011497125718,0.0,58.44138965258686,56.418645338665335,7.617095726068483,14.754811297175706,-58.989252686828294,1787499677.6656132
5000,0.452409208228286,0.452409208228286,0.452409208228286,0.452409208228286,62.34753049390122,37.65246950609878,0.0,58.320335932813435,54.98370325934813,7.41751649670066,23.422915416916616,-66.27214557088583,1787499762.5629165
6000,0.44345081700576205,0.44345081700576205,0.44345081700576205,0.44345081700576205,63.856023996000665,36.143976003999335,0.0,58.2084652557907,54.05249125145809,7.215964005999,30.064655890684886,-71.73604399266789,1787499850.9540153
7000,0.43466981557070516,0.43466981557070516,0.43466981557070516,0.43466981557070516,65.21925439222969,34.78074560777032,0.0,58.340451364090846,53.43808027424654,7.115697757463219,36.12612483930867,-77.32323953720898,1787499939.9061584
8000,0.42606269133520536,0.42606269133520536,0.42606269133520536,0.42606269133520536,65.92925884264467,34.070741157355336,0.0,58.35476815398075,53.053493313335835,7.006624171978503,39.44119485064367,-79.90101237345331,1787500027.5133219
9000,0.41762600126594335,0.41762600126594335,0.41762600126594335,0.41762600126594335,66.37040328852349,33.6295967114765,0.0,58.21697589156761,52.747472503055214,6.911343184090657,41.52671925341629,-81.34540606599266,1787500114.7967196
10000,0.4093563705069002,0.4093563705069002,0.4093563705069002,0.4093563705069002,67.43325667433257,32.56674332566744,0.0,58.35571442855714,52.315618438156186,6.846015398460154,46.07969203079692,-85.43835616438356,1787500203.0543883
11000,0.4012504910293465,0.4012504910293465,0.4012504910293465,0.4012504910293465,68.21198072902463,31.788019270975365,0.0,58.306381238069264,51.98859194618671,6.761567130260885,49.26924825015907,-88.13462412507954,1787500289.9731681
12000,0.39330512030856085,0.39330512030856085,0.39330512030856085,0.39330512030856085,68.9109240896592,31.089075910340807,0.0,58.295642029830844,51.787351054078826,6.687192733938838,51.93167236063661,-90.38730105824514,1787500376.043137
